stelle,zeichen_code,zeichen_original,position,bedeutung,normen,verwendung_ende
BGH,GSSt,GSSt ,hauptzeichen,Großer Senat (Strafsachen),§ 132 GVG,NA
BGH,GSZ,GSZ ,hauptzeichen,Großer Senat (Zivilsachen),NA,NA
BGH,KRB,KRB ,hauptzeichen,Rechtsbeschwerden in Kartellbußgeldverfahren,§ 84 GWB,NA
BGH,KVR,KVR ,hauptzeichen,Rechtsbeschwerden (Kartellverwaltungssachen),NA,NA
BGH,KVZ,KVZ ,hauptzeichen,Nichtzulassungsbeschwerden (Kartellverwaltungssachen),NA,NA
BGH,KZA,KZA,hauptzeichen,Anträge außerhalb eines in der Revisionsinstanz anhängigen Rechtsstreits (Kartellsachen),NA,NA
BGH,KZB,KZB ,hauptzeichen,Rechtsbeschwerden und Beschwerden in bürgerlichen Rechtsstreitigkeiten (Kartellsachen),NA,NA
BGH,KZR,KZR ,hauptzeichen,"Revisionen, Beschwerden gegen die Nichtzulassung der Revision und Anträge auf Zulassung der Sprungrevision in bürgerlichen Rechtsstreitigkeiten (Kartellsachen)",NA,NA
BGH,LwZA,LwZA ,hauptzeichen,Anträge außerhalb eines in der Revisionsinstanz für Landwirtschaftssachen anhängigen Verfahrens,NA,NA
BGH,LwZB,LwZB ,hauptzeichen,Beschwerden und Rechtsbeschwerden in Landwirtschaftssachen der streitigen bürgerlichen Gerichtsbarkeit,NA,NA
BGH,LwZR,LwZR ,hauptzeichen,"Revisionen, Beschwerden gegen die Nichtzulassung der Revision und Anträge auf Zulassung der Sprungrevision (Landwirtschaftssachen)",NA,NA
BGH,NotStB,NotSt(B) ,hauptzeichen,Beschwerden gegen Beschlüsse der Oberlandesgerichte in Disziplinarsachen gegen Notare,NA,NA
BGH,NotStBrfg,NotSt(Brfg) ,hauptzeichen,Berufungen und Anträge auf Zulassung der Berufung gegen Urteile der Oberlandesgerichte in Disziplinarsachen gegen Notare,NA,NA
BGH,NotZ,NotZ ,hauptzeichen,Verwaltungsstreitverfahren in Notarsachen und Beschwerden gegen Entscheidungen der Oberlandesgerichte,NA,NA
BGH,NotZBrfg,NotZ(Brfg) ,hauptzeichen,Berufungen und Anträge auf Zulassung der Berufung gegen Entscheidungen der Oberlandesgerichte in Notarsachen,NA,NA
BGH,PatAnwStR,PatAnwSt(R),hauptzeichen,Revisionen nach der PatAO,NA,NA
BGH,PatAnwStB,PatAnwSt(B),hauptzeichen,Beschwerden gegen die Nichtzulassung der Revision und Beschwerden nach der PatAO,NA,NA
GBA,PatAnwStR,PatAnwSt(R),hauptzeichen,Revisionen nach der PatAO,NA,NA
GBA,PatAnwStB,PatAnwSt(B),hauptzeichen,Beschwerden gegen die Nichtzulassung der Revision und Beschwerden nach der PatAO,NA,NA
BGH,PatAnwZ,PatAnwZ ,hauptzeichen,Verwaltungsstreitverfahren in Patentanwaltssachen; Berufungen und Anträge auf Zulassung der Berufung und Beschwerden gegen Entscheidungen der Oberlandesgerichte,NA,NA
